MAL_ID,Name,Score,Genres,Type,Episodes,Producers,Licensors,Studios,Source,Duration,Rating,Ranked
1655,Nerima Daikon Brothers,7.33,"Comedy, Music",TV,12,Aniplex,"ADV Films, Funimation",Studio Hibari,Original,24 min. per ep.,R+ - Mild Nudity,2185.0
1657,Byston Well Monogatari: Garzey no Tsubasa,4.18,"Action, Fantasy",OVA,3,"BMG Japan, Sanctuary",Central Park Media,J.C.Staff,Original,30 min. per ep.,PG-13 - Teens 13 or older,10996.0
1658,Karakuri no Kimi,6.5,"Action, Comedy, Fantasy, Historical, Horror, Martial Arts, Samurai, Shounen, Supernatural",OVA,1,"Shogakukan-Shueisha Productions, Toho",Media Blasters,TMS Entertainment,Manga,39 min.,R+ - Mild Nudity,5895.0
1660,Kurogane Communication,6.66,"Action, Adventure, Drama, Sci-Fi",TV,24,Pony Canyon,Media Blasters,APPP,Manga,15 min. per ep.,R+ - Mild Nudity,5091.0
1661,Cutey Honey,6.45,"Action, Sci-Fi, School",TV,25,Dynamic Planning,Discotek Media,Toei Animation,Manga,25 min. per ep.,PG-13 - Teens 13 or older,6160.0
1668,Bakuten Shoot Beyblade G Revolution,6.93,"Action, Adventure, Comedy, Sci-Fi, Shounen, Sports",TV,52,d-rights,"Nelvana, Discotek Media",Madhouse,Manga,20 min. per ep.,PG - Children,3901.0
1669,Bakuten Shoot Beyblade 2002,6.68,"Action, Adventure, Comedy, Sci-Fi, Shounen, Sports",TV,51,"d-rights, Heewon Entertainment","Nelvana, Discotek Media",Nippon Animation,Manga,21 min. per ep.,PG - Children,4984.0
1670,Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi,6.59,"Action, Sci-Fi, Adventure, Comedy, Sports, Shounen",Movie,1,"Yomiko Advertising, d-rights",Nelvana,Nippon Animation,Manga,1 hr. 10 min.,G - All Ages,5432.0
1676,Cosmo Warrior Zero,6.56,"Action, Adventure, Military, Sci-Fi, Space",TV,13,AT-X,"Media Blasters, Discotek Media",Vega Entertainment,Game,25 min. per ep.,PG-13 - Teens 13 or older,5588.0
1678,Cyborg 009: The Cyborg Soldier,7.28,"Action, Sci-Fi, Adventure, Mecha, Shounen",TV,50,"TV Tokyo, Avex Entertainment","Sony Pictures Entertainment, Discotek Media","Shaft, Brain's Base, Japan Vistec",Manga,25 min. per ep.,PG-13 - Teens 13 or older,2438.0
1682,Baldr Force Exe Resolution,6.47,"Action, Drama, Mecha, Sci-Fi",OVA,4,Alchemist,Funimation,Satelight,Visual novel,30 min. per ep.,R+ - Mild Nudity,6034.0
1685,Duel Masters,5.85,"Action, Adventure, Comedy, Shounen",TV,26,Studio Jack,Hasbro,Studio Hibari,Manga,21 min. per ep.,PG-13 - Teens 13 or older,8683.0
1686,Bleach Movie 1: Memories of Nobody,7.45,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",Movie,1,"TV Tokyo, Dentsu, Shueisha",VIZ Media,Studio Pierrot,Manga,1 hr. 33 min.,PG-13 - Teens 13 or older,1721.0
1690,Bokura no,7.66,"Sci-Fi, Psychological, Drama, Mecha, Seinen",TV,24,Sotsu Music Publishing,Discotek Media,Gonzo,Manga,23 min. per ep.,R - 17+ (violence & profanity),1117.0
1694,iDOLM@STER Xenoglossia,6.52,"Action, Comedy, Mecha, Sci-Fi",TV,26,Bandai Visual,Sentai Filmworks,Sunrise,Original,23 min. per ep.,PG-13 - Teens 13 or older,5782.0
1696,Murder Princess,7.02,"Action, Adventure, Fantasy",OVA,6,Marvelous,Funimation,Bee Train,Manga,24 min. per ep.,R - 17+ (violence & profanity),3570.0
1699,Romeo x Juliet,7.66,"Drama, Fantasy, Historical, Romance",TV,24,"GDH, Kadokawa Shoten, CBC, SKY Perfect Well Think, Happinet Pictures, Sotsu Music Publishing",Funimation,Gonzo,Book,24 min. per ep.,PG-13 - Teens 13 or older,1118.0
1704,Eat-Man,6.46,"Action, Adventure, Sci-Fi, Shounen, Super Power",TV,12,Bandai Visual,"Bandai Entertainment, Discotek Media",Studio Deen,Manga,24 min. per ep.,R - 17+ (violence & profanity),6094.0
1706,Gun Frontier,6.58,"Action, Adventure, Drama, Historical, Sci-Fi, Seinen",TV,13,"TV Tokyo, Vega Entertainment","Media Blasters, Discotek Media",Echo,Manga,25 min. per ep.,PG-13 - Teens 13 or older,5495.0
1707,Kinnikuman II Sei,6.9,"Action, Sci-Fi, Comedy, Sports, Martial Arts, Shounen",TV,51,"TV Tokyo, Yomiuri Advertising",4Kids Entertainment,Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,4028.0
1709,Pokemon: Mewtwo! Ware wa Koko ni Ari,7.06,"Action, Adventure, Comedy, Drama, Fantasy, Kids",Special,1,Studio Jack,"4Kids Entertainment, Warner Bros. Japan",OLM,Game,1 hr. 15 min.,PG - Children,3409.0
1710,Rockman.EXE,6.93,"Action, Game, Sci-Fi, Adventure, Comedy, Mecha, Shounen",TV,56,"TV Tokyo, Shogakukan-Shueisha Productions, Nihon Ad Systems, Half H.P Studio",VIZ Media,Xebec,Game,21 min. per ep.,PG-13 - Teens 13 or older,3901.0
1713,Submarine Super 99,6.24,"Action, Military, Sci-Fi, Adventure, Shounen",TV,13,"TV Tokyo, Pony Canyon, AT-X, Tsuburaya Productions",Enoki Films,Vega Entertainment,Manga,24 min. per ep.,PG-13 - Teens 13 or older,7185.0
1719,Rozen Maiden: Ouvertüre,7.73,"Action, Comedy, Drama, Magic, Seinen",Special,2,Mellow Head,Sentai Filmworks,Nomad,Manga,24 min. per ep.,PG-13 - Teens 13 or older,965.0
1722,Nagasarete Airantou,7.27,"Harem, Comedy, Romance, Ecchi, Fantasy, Shounen",TV,26,Square Enix,Discotek Media,feel.,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2514.0
1726,Devil May Cry,6.98,"Action, Demons, Fantasy",TV,12,"WOWOW, Media Factory, Capcom, Showgate","ADV Films, Funimation",Madhouse,Game,24 min. per ep.,R - 17+ (violence & profanity),3699.0
1727,Shinkyoku Soukai Polyphonica,6.84,"Drama, Fantasy, Music, Romance, School",TV,12,"Lantis, Pony Canyon, TBS, Movic, Magic Capsule, SoftBank Creative, Memory-Tech, T.O Entertainment, Fuji Creative",Sentai Filmworks,Ginga Ya,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,4284.0
1728,Super GALS! Kotobuki Ran,7.42,"Comedy, Slice of Life, Shoujo",TV,52,TV Tokyo,"ADV Films, Nozomi Entertainment",Studio Pierrot,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1827.0
1732,Negima!? Natsu Special!?,7.12,"Ecchi, Fantasy, Comedy, Romance",OVA,1,"Starchild Records, GANSIS",Funimation,Shaft,Manga,27 min.,PG-13 - Teens 13 or older,3126.0
1733,eX-Driver: Nina & Rei Danger Zone,6.48,"Action, Sci-Fi, Cars",OVA,1,"Bandai Visual, Genco",Geneon Entertainment USA,Actas,Original,27 min.,PG-13 - Teens 13 or older,5979.0
1735,Naruto: Shippuuden,8.16,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,500,"TV Tokyo, Aniplex, KSS, Rakuonsha, TV Tokyo Music, Shueisha",VIZ Media,Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,345.0
1738,Muteki Kanban Musume,7.11,"Action, Comedy, Martial Arts, Parody, Shounen",TV,12,"Geneon Universal Entertainment, Yomiuri Telecasting, Yomiuri Advertising, Toshiba Entertainment",Media Blasters,Telecom Animation Film,Manga,24 min. per ep.,PG-13 - Teens 13 or older,3179.0
1742,Souryuuden,6.56,"Mystery, Super Power, Supernatural, Drama",OVA,12,"Kodansha, Fuji TV",Central Park Media,Kitty Films,Novel,45 min. per ep.,R - 17+ (violence & profanity),5587.0
1744,Wagamama☆Fairy Mirumo de Pon!,7.3,"Kids, Adventure, Fantasy, Magic, Comedy, Romance, School, Drama, Shoujo",TV,172,Trinity Sound,VIZ Media,Studio Hibari,Manga,21 min. per ep.,G - All Ages,2358.0
1747,Freedom,7.45,"Action, Sci-Fi, Adventure, Space",OVA,7,"Bandai Visual, Dentsu","Bandai Entertainment, Discotek Media, NYAV Post, Bandai Visual USA",Sunrise,Original,27 min. per ep.,PG-13 - Teens 13 or older,1736.0
1761,Golgo 13: Queen Bee,6.59,"Action, Adventure, Military, Drama, Seinen",OVA,1,Tezuka Productions,Urban Vision,Filmlink International,Manga,56 min.,R+ - Mild Nudity,5449.0
1762,Arslan Senki,6.92,"Action, Adventure, Drama, Fantasy, Historical",OVA,6,"Production I.G, Kadokawa Shoten, Movic, Sony Music Entertainment, Aubec",Central Park Media,"J.C.Staff, animate Film",Light novel,37 min. per ep.,PG-13 - Teens 13 or older,3935.0
1766,Youseiki Suikoden,5.75,"Action, Martial Arts, Fantasy",OVA,1,"Konami, Kadokawa Shoten",ADV Films,J.C.Staff,Light novel,45 min.,R - 17+ (violence & profanity),9006.0
1768,Kikaider 01 The Animation,6.78,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,4,SME Visual Works,Bandai Entertainment,Radix,Other,27 min. per ep.,PG-13 - Teens 13 or older,4537.0
1769,Oh! Super Milk-chan,5.99,"Action, Parody, Comedy, Sci-Fi",TV,12,Pioneer LDC,ADV Films,Studio Pierrot,Original,21 min. per ep.,R - 17+ (violence & profanity),8252.0
1774,HeatGuy J Special,7.04,"Action, Adventure, Mecha, Police, Sci-Fi",Special,1,Bandai Visual,"Funimation, Geneon Entertainment USA",Satelight,Original,25 min.,PG-13 - Teens 13 or older,3508.0
1775,Jikuu Tenshou Nazca,5.65,"Action, Adventure, Drama, Magic, Fantasy",TV,12,"Kadokawa Shoten, Pioneer LDC",Geneon Entertainment USA,"Genco, Radix",Manga,24 min. per ep.,PG-13 - Teens 13 or older,9296.0
1777,Kaze no Tairiku,6.21,"Action, Adventure, Fantasy, Supernatural",Movie,1,"Bandai Visual, Kadokawa Shoten, Victor Entertainment, animate Film, Imagica","Media Blasters, NYAV Post",Production I.G,Light novel,55 min.,PG-13 - Teens 13 or older,7288.0
1792,Overman King Gainer,6.89,"Action, Adventure, Mecha, Sci-Fi, Shounen",TV,26,WOWOW,"Bandai Entertainment, Sentai Filmworks",Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,4061.0
1793,Kaze no Na wa Amnesia,6.39,"Action, Dementia, Drama, Sci-Fi",Movie,1,Japan Home Video,"Central Park Media, Discotek Media",Madhouse,Light novel,1 hr. 20 min.,R+ - Mild Nudity,6463.0
1794,Dirty Pair no Ooshoubu: Nolandia no Nazo,6.4,"Action, Sci-Fi, Adventure, Comedy, Police",OVA,1,Studio Nue,"ADV Films, Nozomi Entertainment",Sunrise,Light novel,55 min.,R+ - Mild Nudity,6405.0
1796,Dirty Pair: The Movie,7.08,"Action, Sci-Fi, Adventure, Comedy, Police",Movie,1,Atelier Musa,"ADV Films, Nozomi Entertainment",Sunrise,Light novel,1 hr. 21 min.,PG-13 - Teens 13 or older,3301.0
1802,Dirty Pair Flash,6.67,"Action, Adventure, Police, Comedy, Sci-Fi",OVA,6,"VAP, Studio Jack","ADV Films, Nozomi Entertainment",Sunrise,Light novel,27 min. per ep.,PG-13 - Teens 13 or older,5044.0
1803,Dirty Pair: Lovely Angels yori Ai wo Komete,7.03,"Action, Adventure, Comedy, Police, Sci-Fi",OVA,2,Studio Nue,Nozomi Entertainment,Sunrise,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,3535.0
1810,Kyoushirou to Towa no Sora,6.48,"Drama, Magic, Romance, Shounen",TV,12,"Geneon Universal Entertainment, AT-X, KlockWorx, Studio Mausu, Toshiba Entertainment","ADV Films, Funimation",TNK,Manga,24 min. per ep.,PG-13 - Teens 13 or older,6021.0
1811,Bounty Dog: Getsumen no Ibu,5.56,"Action, Sci-Fi, Space",OVA,2,"Starchild Records, Movic, Toho",Manga Entertainment,animate Film,Original,29 min. per ep.,R+ - Mild Nudity,9501.0
1813,Genshiken OVA,7.66,"Parody, Slice of Life, Comedy",OVA,3,"Genco, Lantis, Media Factory",Media Blasters,Ajia-Do,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1124.0
1815,Shakugan no Shana Movie,7.39,"Action, Supernatural, Fantasy",Movie,1,"Geneon Universal Entertainment, ASCII Media Works, Showgate",Funimation,J.C.Staff,Light novel,1 hr. 30 min.,PG-13 - Teens 13 or older,1932.0
1816,Sonic X,6.46,"Sci-Fi, Adventure, Comedy, Kids, Mecha, Shounen",TV,78,TV Tokyo,"4Kids Entertainment, Discotek Media",TMS Entertainment,Game,24 min. per ep.,PG - Children,6113.0
1817,DearS: Kin no Tama Desu no?,6.85,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",Special,1,Hal Film Maker,Discotek Media,Daume,Manga,23 min.,R+ - Mild Nudity,4226.0
1818,Claymore,7.78,"Action, Adventure, Super Power, Demons, Supernatural, Fantasy, Shounen",TV,26,"VAP, Avex Entertainment, Nippon Television Network, D.N. Dream Partners",Funimation,Madhouse,Manga,23 min. per ep.,R+ - Mild Nudity,853.0
1820,Power Dolls,5.46,"Action, Adventure, Mecha, Sci-Fi",OVA,2,VAP,ADV Films,OLM,Game,25 min. per ep.,R+ - Mild Nudity,9784.0
1822,The Hakkenden,6.61,"Action, Adventure, Historical, Demons, Martial Arts, Samurai, Shounen",OVA,6,AIC,Geneon Universal Entertainment,Artmic,Novel,30 min. per ep.,R - 17+ (violence & profanity),5315.0
1824,Hadashi no Gen,7.79,"Drama, Historical",Movie,1,RCC Chugoku Broadcasting,"Discotek Media, Geneon Entertainment USA",Madhouse,Manga,1 hr. 23 min.,PG-13 - Teens 13 or older,837.0
1825,Hadashi no Gen 2,7.37,"Drama, Historical, Shounen",Movie,1,GEN Productions,"Discotek Media, Geneon Entertainment USA",Madhouse,Manga,1 hr. 26 min.,PG-13 - Teens 13 or older,2030.0
1826,Deltora Quest,7.04,"Adventure, Kids, Fantasy",TV,65,"Geneon Universal Entertainment, Dentsu, Genco, Kodansha, Half H.P Studio",Flatiron Film Company,OLM,Book,25 min. per ep.,PG-13 - Teens 13 or older,3483.0
1827,Seirei no Moribito,8.17,"Action, Adventure, Historical, Fantasy",TV,26,"Geneon Universal Entertainment, Dentsu, NHK Enterprises","VIZ Media, Media Blasters, Sentai Filmworks, Geneon Entertainment USA",Production I.G,Novel,25 min. per ep.,PG-13 - Teens 13 or older,344.0
1829,Ged Senki,6.95,"Adventure, Magic, Fantasy",Movie,1,Toho,Walt Disney Studios,Studio Ghibli,Novel,1 hr. 55 min.,PG-13 - Teens 13 or older,3815.0
1832,Meiou Project Zeorymer,6.18,"Action, Sci-Fi, Psychological, Drama, Mecha",OVA,4,"Youmex, Toshiba EMI",Central Park Media,"AIC, Artmic",Manga,25 min. per ep.,R+ - Mild Nudity,7463.0
1833,Hyper-Psychic Geo Garaga,5.18,"Action, Sci-Fi, Adventure",Movie,1,Asmik Ace,Central Park Media,"Anime R, Aubec",Manga,1 hr. 40 min.,R - 17+ (violence & profanity),10368.0
1836,Shuffle! Memories,6.54,"Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen",TV,12,Memory-Tech,Kadokawa Pictures USA,Asread,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,5703.0
1837,Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,6.81,"Action, Sci-Fi, Adventure, Comedy, Parody, Shounen",TV,12,"Media Factory, KlockWorx, Memory-Tech, Toshiba Entertainment, Toshiba Digital Frontiers",Sentai Filmworks,ufotable,Light novel,24 min. per ep.,PG - Children,4394.0
1840,Zero no Tsukaima: Futatsuki no Kishi,7.49,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School",TV,12,"Genco, Media Factory, Shochiku, Happinet Pictures",Sentai Filmworks,J.C.Staff,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,1603.0
1844,Clamp Gakuen Tanteidan,6.91,"Action, Mystery, Comedy, Shoujo",TV,26,Bandai Visual,"Bandai Entertainment, Maiden Japan",Studio Pierrot,Manga,24 min. per ep.,G - All Ages,3962.0
1846,Princess Nine: Kisaragi Joshikou Yakyuubu,7.15,"Sports, Romance, Drama",TV,26,NHK,"ADV Films, Nozomi Entertainment",Phoenix Entertainment,Original,25 min. per ep.,PG-13 - Teens 13 or older,2996.0
1852,Hidamari Sketch,7.45,"Comedy, School, Seinen, Slice of Life",TV,12,"Aniplex, Lantis, TBS, Movic, Houbunsha",Sentai Filmworks,Shaft,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,1745.0
1857,Taiyou no Mokushiroku: A Spirit of the Sun,6.91,"Drama, Sci-Fi",Special,2,Tohokushinsha Film Corporation,Maiden Japan,Madhouse,Manga,1 hr. 17 min. per ep.,R - 17+ (violence & profanity),3974.0
1858,Gakuen Utopia Manabi Straight!,7.28,"Slice of Life, Comedy, School",TV,12,"Starchild Records, KlockWorx, ASCII Media Works",Discotek Media,ufotable,Original,24 min. per ep.,G - All Ages,2410.0
1860,Tokyo Majin Gakuen Kenpucho: Tou,7.15,"Action, Horror, Supernatural, Drama, Martial Arts, Fantasy, School",TV,14,"Trinity Sound, Imagine","ADV Films, Funimation","AIC Spirits, BeSTACK",Game,24 min. per ep.,R - 17+ (violence & profanity),3003.0
1869,Nana Recaps,7.0,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",Special,3,"VAP, Nippon Television Network",VIZ Media,Madhouse,Manga,23 min. per ep.,R - 17+ (violence & profanity),3644.0
1879,Midnight Eye: Gokuu,6.48,"Action, Sci-Fi, Mystery, Seinen",OVA,1,Toei Video,"Discotek Media, Urban Vision",Madhouse,Manga,50 min.,R+ - Mild Nudity,6008.0
1887,Lucky☆Star,7.77,"Slice of Life, Comedy, Parody, School",TV,24,"Lantis, Rakuonsha, Lucky Paradise","Funimation, Bandai Entertainment, Kadokawa Pictures USA",Kyoto Animation,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,885.0
1889,Higurashi no Naku Koro ni Kai,8.23,"Mystery, Psychological, Supernatural, Thriller",TV,24,"Geneon Universal Entertainment, Frontier Works, Sotsu, Movic",Sentai Filmworks,Studio Deen,Visual novel,24 min. per ep.,R - 17+ (violence & profanity),279.0
1894,Yu☆Gi☆Oh!: Hikari no Pyramid,6.59,"Adventure, Comedy, Fantasy, Game",Movie,1,Nihon Ad Systems,"4Kids Entertainment, Warner Bros. Japan",Gallop,Manga,1 hr. 41 min.,PG-13 - Teens 13 or older,5423.0
1897,Zettai Muteki Raijin-Oh,6.76,"Adventure, Mecha, School, Sci-Fi",TV,51,Toshiba EMI,Anime Midstream,Sunrise,Original,24 min. per ep.,G - All Ages,4655.0
1901,11-nin Iru!,7.09,"Action, Sci-Fi, Adventure, Mystery, Space, Drama, Romance, Shoujo",Movie,1,Kitty Films,Central Park Media,Magic Bus,Manga,1 hr. 31 min.,PG-13 - Teens 13 or older,3228.0
1910,Master Keaton OVA,7.76,"Adventure, Drama, Historical, Mystery, Seinen, Slice of Life",OVA,15,"VAP, Shogakukan-Shueisha Productions",Geneon Entertainment USA,Madhouse,Manga,24 min. per ep.,R - 17+ (violence & profanity),897.0
1920,Urusei Yatsura Movie 1: Only You,7.08,"Action, Adventure, Comedy, Romance, Drama, Sci-Fi",Movie,1,Kitty Films,"AnimEigo, Discotek Media",Studio Pierrot,Manga,1 hr. 42 min.,PG-13 - Teens 13 or older,3313.0
1921,Urusei Yatsura Movie 2: Beautiful Dreamer,7.83,"Action, Adventure, Comedy, Romance, Drama, Sci-Fi",Movie,1,"Kitty Films, Studio Kyuuma","Central Park Media, Discotek Media",Studio Pierrot,Manga,1 hr. 35 min.,PG-13 - Teens 13 or older,771.0
1922,Urusei Yatsura Movie 3: Remember My Love,6.98,"Action, Sci-Fi, Adventure, Comedy, Drama, Romance",Movie,1,Kitty Films,"AnimEigo, Discotek Media",Studio Deen,Manga,1 hr. 35 min.,PG-13 - Teens 13 or older,3722.0
1923,Urusei Yatsura Movie 4: Lum The Forever,6.77,"Action, Sci-Fi, Adventure, Comedy, Drama, Romance",Movie,1,"Kitty Films, AnimEigo",Discotek Media,Studio Deen,Manga,1 hr. 35 min.,PG-13 - Teens 13 or older,4571.0
1925,Urusei Yatsura Movie 6: Itsudatte My Darling,6.84,"Action, Sci-Fi, Adventure, Comedy, Drama, Romance",Movie,1,Kitty Films,Discotek Media,Madhouse,Manga,1 hr. 17 min.,PG-13 - Teens 13 or older,4286.0
1928,Early Reins,5.92,"Action, Adventure, Seinen",OVA,1,Toho,Media Blasters,OLM,Original,44 min.,R - 17+ (violence & profanity),8475.0
1935,Megazone 23,6.81,"Action, Sci-Fi, Music, Mystery, Romance, Mecha",OVA,4,"Victor Entertainment, Idol",ADV Films,"Artland, AIC, Artmic",Original,1 hr. 7 min. per ep.,R+ - Mild Nudity,4416.0
1938,Shin Kaitei Gunkan,6.1,"Action, Adventure, Fantasy, Historical, Military, Sci-Fi",OVA,2,Kadokawa Shoten,ADV Films,Phoenix Entertainment,Other,50 min. per ep.,PG-13 - Teens 13 or older,7800.0
1940,Outlanders,5.91,"Sci-Fi, Adventure, Comedy, Ecchi, Shounen",OVA,1,Tatsunoko Production,Central Park Media,AIC,Manga,51 min.,R - 17+ (violence & profanity),8484.0
1942,Rocket Girls,6.91,"Adventure, Sci-Fi, Space",TV,12,Happinet Pictures,"Bandai Entertainment, Sentai Filmworks",Mook DLE,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,3962.0
1944,Photon,7.07,"Action, Adventure, Comedy, Drama, Ecchi, Mecha, Romance, Sci-Fi",OVA,6,Movic,"Central Park Media, Discotek Media",AIC,Original,32 min. per ep.,R+ - Mild Nudity,3357.0
1951,Manie-Manie: Meikyuu Monogatari,7.05,"Adventure, Fantasy, Horror, Sci-Fi, Supernatural",Movie,3,Kadokawa Shoten,ADV Films,Madhouse,Original,16 min. per ep.,PG-13 - Teens 13 or older,3471.0
1954,Rayearth,6.89,"Action, Adventure, Fantasy",OVA,3,"Polygram Japan, Kodansha, TMS-Kyokuchi",Manga Entertainment,TMS Entertainment,Manga,45 min. per ep.,PG-13 - Teens 13 or older,4062.0
1956,Ikkitousen: Dragon Destiny,6.8,"Action, Super Power, Ecchi, Martial Arts, School",TV,12,"Genco, Atelier Musa, Gigno Systems",Media Blasters,Arms,Manga,24 min. per ep.,R+ - Mild Nudity,4439.0
1959,Wild 7,6.21,"Action, Police, Drama, Shounen",OVA,2,"Fuji TV, Tokuma Shoten","Enoki Films, Urban Vision",Pierrot Plus,Manga,55 min. per ep.,R - 17+ (violence & profanity),7299.0
1964,Sakura Taisen: Ecole de Paris,6.44,"Action, Adventure, Game, Harem, Mecha, Sci-Fi",OVA,3,"Sega, Imagine",Funimation,Radix,Game,25 min. per ep.,PG-13 - Teens 13 or older,6233.0
1965,Sola,7.22,"Drama, Romance, Slice of Life, Supernatural",TV,13,Lantis,Bandai Entertainment,Nomad,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2697.0
1966,Ankoku Shinwa,4.21,"Demons, Fantasy, Horror, Mystery, Psychological, Supernatural",OVA,2,Daiei,Manga Entertainment,Ajia-Do,Manga,50 min. per ep.,R+ - Mild Nudity,10992.0
1967,Mobile Suit Zeta Gundam: A New Translation - Heir to the Stars,7.16,"Military, Sci-Fi, Space, Drama, Mecha",Movie,1,Sotsu,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,1 hr. 34 min.,PG-13 - Teens 13 or older,2947.0
1968,Mobile Suit Zeta Gundam: A New Translation II - Lovers,7.06,"Military, Sci-Fi, Space, Drama, Romance, Mecha",Movie,1,Sotsu,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,1 hr. 37 min.,PG-13 - Teens 13 or older,3403.0
1969,Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,7.15,"Military, Sci-Fi, Space, Drama, Mecha",Movie,1,Sotsu,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,1 hr. 40 min.,PG-13 - Teens 13 or older,3005.0
1974,Glass no Kamen (2005),8.09,"Drama, Shoujo",TV,51,"TMS Entertainment, MediaNet",Sentai Filmworks,Tokyo Movie Shinsha,Manga,25 min. per ep.,G - All Ages,424.0
1988,Himawari!!,6.47,"Comedy, Romance",TV,13,"Starchild Records, Tohokushinsha Film Corporation",Maiden Japan,Arms,Original,25 min. per ep.,PG-13 - Teens 13 or older,6073.0
1996,Full Moon wo Sagashite: Kawaii Kawaii Daibouken,6.72,"Comedy, Fantasy, Shoujo, Supernatural",Special,1,Nihon Ad Systems,VIZ Media,Studio Deen,Manga,10 min.,G - All Ages,4795.0
1999,Sakura Taisen: Sumire,6.43,"Adventure, Drama, Mecha, Sci-Fi, Shounen",OVA,1,"Sega, Imagine",Funimation,Radix,Game,30 min.,PG-13 - Teens 13 or older,6262.0
2000,Roujin Z,7.05,"Comedy, Drama, Mecha, Sci-Fi",Movie,1,"Aniplex, TV Asahi, Kadokawa Shoten, Movic, Sony Music Entertainment, Tokyo Theatres",Central Park Media,APPP,Original,1 hr. 19 min.,PG-13 - Teens 13 or older,3438.0
2001,Tengen Toppa Gurren Lagann,8.66,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,"TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai","ADV Films, Bandai Entertainment, Aniplex of America",Gainax,Original,24 min. per ep.,PG-13 - Teens 13 or older,52.0
2002,Heroic Age,7.56,"Action, Mecha, Military, Sci-Fi, Space",TV,26,Starchild Records,Funimation,Xebec,Original,23 min. per ep.,PG-13 - Teens 13 or older,1388.0
2011,Taiho Shichau zo Special,7.06,"Action, Comedy, Police, Shounen",TV,20,TBS,AnimEigo,Studio Deen,Manga,8 min. per ep.,PG-13 - Teens 13 or older,3393.0
2013,Taiho Shichau zo The Movie,7.38,"Action, Comedy, Drama, Police, Shounen",Movie,1,"Bandai Visual, Victor Entertainment, TBS",ADV Films,Studio Deen,Manga,1 hr. 29 min.,PG-13 - Teens 13 or older,1975.0
2014,Taiho Shichau zo: Second Season,7.41,"Action, Comedy, Police, Shounen",TV,26,Kodansha,Sentai Filmworks,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1884.0
2025,Darker than Black: Kuro no Keiyakusha,8.12,"Action, Sci-Fi, Mystery, Super Power",TV,25,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Myrica Music",Funimation,Bones,Original,24 min. per ep.,R - 17+ (violence & profanity),389.0
2026,Hayate no Gotoku!,7.58,"Action, Harem, Comedy, Parody, Romance, Shounen",TV,52,"TV Tokyo, Shogakukan-Shueisha Productions, Studio Tulip","Bandai Entertainment, Sentai Filmworks",SynergySP,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1333.0
2030,El Cazador de la Bruja,7.24,"Adventure, Drama, Mystery",TV,26,Victor Entertainment,Funimation,Bee Train,Original,24 min. per ep.,PG-13 - Teens 13 or older,2597.0
2031,Shining Tears X Wind,6.52,"Action, Adventure, Fantasy, Magic",TV,13,Sega,Discotek Media,Studio Deen,Game,24 min. per ep.,PG-13 - Teens 13 or older,5776.0
2034,Lovely★Complex,8.06,"Comedy, Romance, Shoujo",TV,24,"TBS, TAP, Sony Music Entertainment, Shueisha, Nichion",Discotek Media,Toei Animation,Manga,24 min. per ep.,PG-13 - Teens 13 or older,472.0
2042,Five Star Stories,6.6,"Action, Drama, Fantasy, Mecha, Sci-Fi",Movie,1,Kadokawa Shoten,ADV Films,Sunrise,Manga,1 hr. 5 min.,R - 17+ (violence & profanity),5362.0
